

[T:181008]$050403020155,260330080015365,113.93384,22.52489,-0.06702,-0.18274,0.97888,0.03125,-3.71875,-0.07813,0,0,0,0.354,0.248,1.331*

[T:181517]$050403020155,260330080015465,113.93384,22.52489,-0.06665,-0.18201,0.97864,-0.01563,-0.04688,-0.12500,0,0,0,0.358,0.248,1.331*

[T:182026]$050403020155,260330080015565,113.93384,22.52489,-0.06812,-0.18225,0.98047,-0.20313,0.03125,0.06250,0,0,0,0.354,0.248,1.331*

[T:182536]$050403020155,260330080015665,113.93384,22.52489,-0.06787,-0.18079,0.97876,0.17188,0.03125,-0.01563,0,0,0,0.354,0.245,1.331*

[T:183044]$050403020155,260330080015765,113.93384,22.52489,-0.06653,-0.18250,0.97900,0.03125,0.14063,0.10938,0,0,0,0.354,0.248,1.331*

[T:183553]$050403020155,260330080015865,113.93384,22.52489,-0.06775,-0.18323,0.97900,0.12500,0.01563,0.14063,0,0,0,0.354,0.248,1.331*

[T:184062]$050403020155,260330080016965,113.93384,22.52489,-0.06738,-0.18188,0.97876,0.23438,-0.01563,0.12500,0,0,0,0.354,0.248,1.331*

[T:184571]$050403020155,260330080016065,113.93384,22.52489,-0.06738,-0.18286,0.98108,-0.21875,0.23438,0.07813,0,0,0,0.354,0.248,1.331*

[T:185080]$050403020155,260330080016165,113.93384,22.52489,-0.06726,-0.18213,0.98035,0.15625,0.03125,-0.14063,0,0,0,0.354,0.248,1.334*

[T:185589]$050403020155,260330080016265,113.93384,22.52489,-0.06750,-0.18201,0.97937,-0.04688,0.18750,0.17188,0,0,0,0.354,0.248,1.331*

[T:186097]$050403020155,260330080016365,113.93384,22.52489,-0.06812,-0.18298,0.97937,0.15625,-0.01563,-0.12500,0,0,0,0.358,0.248,1.331*

[T:186606]$050403020155,260330080016465,113.93384,22.52489,-0.06726,-0.18347,0.97876,0.32813,0.04688,0.12500,0,0,0,0.358,0.245,1.331*

[T:187115]$050403020155,260330080016565,113.93384,22.52489,-0.06750,-0.18188,0.97961,0.21875,0.03125,0.12500,0,0,0,0.354,0.248,1.331*

[T:187623]$050403020155,260330080016665,113.93384,22.52489,-0.06848,-0.18079,0.97876,0.25000,-0.03125,0.09375,0,0,0,0.354,0.248,1.331*

[T:188132]$050403020155,260330080016765,113.93384,22.52489,-0.06958,-0.18164,0.98096,0.10938,-0.01563,0.09375,0,0,0,0.354,0.245,1.331*

[T:188641]$050403020155,260330080016865,113.93384,22.52489,-0.06653,-0.18286,0.97815,-0.09375,-0.20313,-0.03125,0,0,0,0.358,0.245,1.331*

[T:189150]$050403020155,260330080017965,113.93384,22.52489,-0.06616,-0.18298,0.97986,0.09375,0.07813,0.17188,0,0,0,0.354,0.245,1.331*

[T:189658]$050403020155,260330080017065,113.93384,22.52489,-0.06689,-0.18384,0.98010,0.28125,-0.09375,-0.04688,0,0,0,0.354,0.248,1.331*

[T:190166]$050403020155,260330080017165,113.93384,22.52489,-0.06616,-0.18298,0.97949,0.10938,0.15625,-0.10938,0,0,0,0.354,0.245,1.334*

[T:190675]$050403020155,260330080017265,113.93384,22.52489,-0.06653,-0.18103,0.97803,-0.01563,-0.10938,-0.07813,0,0,0,0.358,0.245,1.331*

[T:191184]$050403020155,260330080017365,113.93384,22.52489,-0.06653,-0.18188,0.97876,0.03125,0.14063,0.03125,0,0,0,0.354,0.245,1.331*

[T:191693]$050403020155,260330080017465,113.93384,22.52489,-0.06860,-0.18152,0.97925,-0.10938,0.03125,-0.07813,0,0,0,0.354,0.245,1.331*

[T:192201]$050403020155,260330080017565,113.93384,22.52489,-0.06616,-0.18323,0.97839,-0.14063,-0.03125,0.07813,0,0,0,0.354,0.245,1.334*

[T:192710]$050403020155,260330080017665,113.93384,22.52489,-0.06860,-0.18372,0.97864,-0.26563,0.06250,0.04688,0,0,0,0.354,0.245,1.331*

[T:193219]$050403020155,260330080017765,113.93384,22.52489,-0.06763,-0.18262,0.97791,0.10938,0.00000,0.04688,0,0,0,0.354,0.248,1.331*

[T:193727]$050403020155,260330080017865,113.93384,22.52489,-0.06775,-0.18250,0.98059,0.12500,0.21875,0.07813,0,0,0,0.358,0.248,1.334*

[T:194236]$050403020155,260330080018965,113.93384,22.52489,-0.06763,-0.18030,0.97986,0.09375,0.03125,-0.07813,0,0,0,0.358,0.248,1.331*

[T:194744]$050403020155,260330080018065,113.93384,22.52489,-0.06689,-0.18079,0.98022,-0.12500,0.15625,0.04688,0,0,0,0.358,0.245,1.331*

[T:195252]$050403020155,260330080018165,113.93384,22.52489,-0.06628,-0.18103,0.97949,-0.04688,-0.06250,-0.09375,0,0,0,0.354,0.248,1.331*

[T:195761]$050403020155,260330080018265,113.93384,22.52489,-0.06775,-0.18298,0.97852,0.07813,0.21875,0.04688,0,0,0,0.354,0.248,1.331*

[T:196269]$050403020155,260330080018365,113.93384,22.52489,-0.06750,-0.18286,0.97900,-0.04688,0.12500,0.17188,0,0,0,0.354,0.245,1.331*

[T:196779]$050403020155,260330080018465,113.93384,22.52489,-0.06750,-0.18188,0.97900,0.18750,0.03125,0.15625,0,0,0,0.354,0.248,1.331*

[T:197288]$050403020155,260330080018565,113.93384,22.52489,-0.06689,-0.18286,0.97974,0.17188,0.06250,0.15625,0,0,0,0.354,0.245,1.331*

[T:197797]$050403020155,260330080018665,113.93384,22.52489,-0.06799,-0.18079,0.97864,0.42188,-0.03125,-0.14063,0,0,0,0.354,0.248,1.331*

[T:198306]$050403020155,260330080018765,113.93384,22.52489,-0.06763,-0.18213,0.98035,-0.14063,0.10938,0.06250,0,0,0,0.354,0.248,1.331*

[T:198815]$050403020155,260330080019865,113.93384,22.52489,-0.06689,-0.18335,0.97961,-0.03125,-0.01563,-0.12500,0,0,0,0.354,0.245,1.331*

[T:199324]$050403020155,260330080019965,113.93384,22.52489,-0.06799,-0.18188,0.97791,-0.23438,0.04688,-0.01563,0,0,0,0.351,0.248,1.331*

[T:199833]$050403020155,260330080019065,113.93384,22.52489,-0.06787,-0.18115,0.97998,0.25000,-0.04688,0.00000,0,0,0,0.358,0.248,1.331*

[T:200341]$050403020155,260330080019165,113.93384,22.52489,-0.06702,-0.18286,0.97913,0.01563,0.07813,0.07813,0,0,0,0.358,0.248,1.331*

[T:200850]$050403020155,260330080019265,113.93384,22.52489,-0.06787,-0.18286,0.97888,0.26563,-0.10938,0.00000,0,0,0,0.358,0.248,1.331*

